establishment_name,city,state,establishment_type,created_timestamp,naics_code,industry_description,annual_average_employees,total_hours_worked,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_injuries,total_cases,is_correct,sectors_code,subsectors_code
"Quality Insulators, Inc.",Green Bay,WI,1.0,2021-02-24 18:54:36,238310, Insulation contractors ,36,91394.0,0,0,0,0,0,0,True,23,238
Noga Foods Inc.,Schiller Park,IL,1.0,2021-12-30 17:43:15,311999," Cocktail mixes, dry, manufacturing ",65,165000.0,0,0,4,0,4,4,True,33,311
Trader Joe`s 0537 Dewitt,Dewitt,NY,1.0,2021-02-16 19:07:38,445110,Grocery Store,67,100323.0,0,5,0,4,9,9,True,45,445
Riverside Base - Bld: 0610 - 15,Riverside,CA,1.0,2021-02-25 19:15:18,221210,Natural Gas Distribution Srv.,71,125906.0,0,1,1,1,2,3,False,22,221
Elanco Winslow,Winslow,ME,1.0,2021-02-24 16:44:22,325414," Vaccines (i.e., bacterial, virus) manufacturing ",119,248277.0,0,0,2,2,3,4,False,33,325
"Trivium Packaging USA, Inc. - Roanoke",Roanoke,VA,1.0,2021-03-11 15:31:14,332431," Cans, steel, light gauge metal, manufacturing ",112,277279.0,0,0,3,3,4,6,False,33,332
Summer Garden,Boardman,OH,1.0,2021-03-15 18:54:23,311421," Sauces, tomato-based, canning ",72,163841.0,0,0,1,2,3,3,True,33,311
Elk Mills 1,Elkton,MD,1.0,2021-02-02 17:30:27,325211, Polyurethane resins manufacturing ,227,451040.0,0,0,0,1,1,1,True,33,325
"Garlock Sealing Technologies, LLC",Houston,TX,1.0,2021-03-10 20:28:09,339991," Gasket, packing, and sealing devices manufacturing ",30,54000.0,0,0,0,0,0,0,True,33,339
SODEXO AT SUFFOLK UNIVERSITY,BOSTON,MA,1.0,2021-03-03 15:04:32,722310,Food Service Contractors,30,61368.0,0,1,0,0,1,1,True,72,722
Heart Utilities of Jax Inc,Jacksonville,FL,1.0,2021-01-25 12:27:39,237130," Utility line (i.e., communication, electric power), construction ",199,413230.0,0,2,1,2,5,5,True,23,237
Wayne J. Griffin Electric Inc. - Pelham,Pelham,AL,1.0,2021-02-24 18:41:52,238210, Electrical contractors ,107,220005.0,0,0,0,1,1,1,True,23,238
Group Home - MARC 3,Portland ,CT,1.0,2021-02-22 18:55:27,623210," Group homes, intellectual and developmental disability ",9,17482.0,0,0,0,0,0,0,True,62,623
Novelis,Lincolnshire,IL,1.0,2021-03-08 20:08:13,331315, Aluminum foil made by flat rolling purchased aluminum ,97,216809.0,0,1,1,2,4,4,True,33,331
Dayton Windustrial Co,Dayton,OH,1.0,2021-01-14 13:20:47,423720," Boilers (e.g., heating, hot water, power, steam) merchant wholesalers ",30,70000.0,0,0,0,0,0,0,True,42,423
El Reno,El Reno,OK,1.0,2021-01-28 13:51:15,213112, Hydraulic fracturing wells on a contract basis ,26,51736.0,0,0,2,1,3,3,True,21,213
366680-ROSEBORO PO,ROSEBORO,NC,1.0,2021-02-27 03:31:44,491110,Mail and Parcel Delivery,10,17657.0,0,1,0,0,1,1,True,49,491
492924-GARLAND PO,GARLAND,UT,1.0,2021-02-27 23:52:44,491110,Mail and Parcel Delivery,7,12979.0,0,0,1,0,1,1,True,49,491
North America Fulfillment Centers (FCs) : AKC1,Akron,OH,1.0,2021-03-29 19:15:42,493110,General Warehousing and Storage,1910,680302.0,0,3,17,3,23,23,True,49,493
"JMS Foodservice, LLC - Suffolk",Suffolk,VA,1.0,2021-01-04 20:24:54,311920, Coffee extracts manufacturing ,80,150162.0,0,1,0,0,1,1,True,33,311
Chanhassen PN Clinic,Chanhassen,MN,1.0,2021-02-24 18:08:57,621111,Health Services,127,222183.0,0,2,0,0,1,2,False,62,621
Fire Operations,Concord,NC,3.0,2021-02-23 15:07:24,922160," Fire departments (e.g., government, volunteer (except private)) ",224,543156.0,0,1,6,1,8,8,True,92,922
Rapiscan Systems Conventional Mfg Facility,Torrance,CA,1.0,2021-02-16 22:59:06,334517, X-ray irradiation equipment manufacturing ,241,476190.0,0,2,0,0,2,2,True,33,334
Materion - Reading,Shoemakersville,PA,1.0,2021-02-10 18:10:47,331421,"Copper Rolling, Drawing and Extruding",141,259049.0,0,0,0,1,1,1,True,33,331
NEWARK SHOP,HEATH,OH,1.0,2021-01-29 20:54:51,484121,MAINTAINENCE,4,8715.0,0,0,0,0,0,0,True,49,484
IBERIA FOODS COMPANY OF NY,SOMERSET,NJ,1.0,2021-02-11 21:22:02,493110," Private warehousing and storage, general merchandise ",31,60000.0,0,0,0,0,0,0,True,49,493
"PRL Industries, Inc.",Cornwall,PA,1.0,2021-02-11 20:53:21,332710, Machine shops ,58,110556.0,0,0,2,11,13,13,True,33,332
Clarus,Fort Worth,TX,1.0,2021-02-03 16:28:10,327215," Cutting, engraving, etching, painting or polishing purchased glass ",205,392119.0,0,1,3,3,7,7,True,33,327
Tugwell Roofing Co,Anderson,CA,1.0,2021-01-07 16:35:30,238160, Roofing contractors ,45,89440.0,0,3,0,10,13,13,True,23,238
WVFAI - FAIRMONT,PLEASANT VALLEY,WV,1.0,2021-02-26 19:08:35,541219,Other Accounting Services,127,210280.0,0,1,1,0,2,2,True,54,541
"The Calvert Company, Inc. (dba AZZ Bus Systems)",Richland,MS,1.0,2021-02-01 21:16:30,335313," Bus bar structures, switchgear-type, manufacturing ",68,153251.0,0,0,0,0,0,0,True,33,335
Melvin,Melvin,IL,1.0,2021-01-30 21:30:05,423820, Farm machinery and equipment merchant wholesalers ,44,89070.0,0,0,0,2,2,2,True,42,423
172919-FWA-DIPLOMAT PLAZA STA,FORT WAYNE,IN,1.0,2021-02-27 23:46:27,491110,Mail and Parcel Delivery,43,77873.0,0,1,1,0,2,2,True,49,491
5472-NAI-0033-0033-02470,SHREWSBURY,MA,1.0,2021-02-24 03:57:52,445110,Supermarkets and Other Grocery (except Convenience) Stores,110,146863.0,0,6,0,0,1,6,False,45,445
Behavioral Health-Cleveland (South Post Road),Shelby,NC,1.0,2021-02-17 17:06:55,621420,Human Services Non-Profit,19,33142.0,0,0,0,0,0,0,True,62,621
Textile Printing Company,Chattanooga,TN,1.0,2021-02-25 13:44:51,322212," Boxes, folding (except corrugated), made from purchased paperboard ",140,289570.0,0,3,0,1,4,4,True,33,322
MERCY HOSPITAL COLOMBUS,COLOMBUS,KS,1.0,2021-03-09 17:50:03,622110, General medical and surgical hospitals ,53,74477.0,0,0,0,0,0,0,True,62,622
Kona Station,Kailua-Kona,HI,1.0,2021-03-10 02:46:29,488119, Airport baggage handling services ,10,6954.0,0,0,0,0,0,0,True,49,488
Legacy Heights & Memory Lane,Van Buren,AR,1.0,2021-03-08 23:54:11,623210," Group homes, intellectual and developmental disability ",69,124275.0,0,0,2,1,3,3,True,62,623
Mercury Marine FdL Campus,Fond du Lac,WI,1.0,2021-03-09 20:30:51,333618,"Marine Engine Distribution, Adminstration",3222,5924261.0,0,10,39,28,73,77,False,33,333
San Antonio Express-News,San Antonio ,TX,1.0,2021-02-11 19:28:50,561720," Building cleaning services, janitorial ",3,6285.0,0,0,0,0,0,0,True,56,561
Bridgeton - QRP,Bridgeton,MO,1.0,2021-02-19 14:01:26,562920, Waste recovery facilities ,18,37440.0,0,1,0,0,1,1,True,56,562
MANCON SCM,Virginia Beach,VA,2.0,2021-02-01 19:46:18,561210, Facilities (except computer operation) support services ,329,593033.0,0,1,2,0,3,3,True,56,561
Royal Building Products,Columbus ,OH,1.0,2021-01-14 16:15:55,326199," Building materials (e.g., fascia, panels, siding, soffit), plastics, manufacturing ",225,435601.0,0,0,0,0,0,0,True,33,326
CACPT - COMPTON HUB,LOS ANGELES,CA,1.0,2021-02-26 18:54:55,492110,Couriers,1176,1915234.0,0,32,37,12,70,81,False,49,492
Wigwam Mills,Sheboygan,WI,1.0,2021-02-02 23:25:15,315110," Anklets, sheer hosiery or socks, knitting or knitting and finishing ",64,125050.0,0,0,0,1,1,1,True,33,315
MTLIB - LIBBY,LIBBY,MT,1.0,2021-02-26 19:01:40,492110,Couriers,18,36279.0,0,0,1,0,1,1,True,49,492
OFFICE OF FINANCE & PAYROLL ,NEW BRUNSWICK,NJ,3.0,2021-02-07 15:52:23,921140, Executive and legislative office combinations ,20,33933.0,0,0,0,0,0,0,True,92,921
480125-HOU-FOSTER PLACE,HOUSTON,TX,1.0,2021-02-28 14:54:03,491110,Mail and Parcel Delivery,37,67007.0,0,0,4,0,4,4,True,49,491
SODEXO AT UNIVERISTYY TEXAS MEDICAL BRANCH,GALVESTON,TX,1.0,2021-03-03 15:59:46,561210,Facilities Support Services,45,87660.0,0,0,0,0,0,0,True,56,561
SOCIAL VOCATIONAL SERVICES - PASADENA STREET,PASADENA,CA,1.0,2021-02-10 19:50:36,624120," Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities ",29,28701.0,0,1,0,0,0,1,False,62,624
"Homer FS (SSS,SAT)",Homer,NY,1.0,2021-03-09 14:20:40,238130, Framing contractors ,24,50750.0,0,2,0,0,2,2,True,23,238
Trader Joe`s 0531 Scarsdale,Scarsdale,NY,1.0,2021-02-16 19:07:35,445110,Grocery Store,142,164681.0,0,14,0,2,1,16,False,45,445
KTEC NC,New Carlisle,OH,1.0,2021-09-20 20:09:13,336211, Truck bodies assembling on purchased chassis ,64,121472.0,0,1,0,0,1,1,True,33,336
2149,COOKEVILLE,TN,1.0,2021-02-25 10:38:38,445110,Supermrkts & other grocery stores,62,85433.0,0,0,0,1,1,1,True,45,445
Rancho Markets#3,Kearns,UT,1.0,2021-04-01 00:20:23,445110, Grocery stores ,56,105872.0,0,0,1,3,1,4,False,45,445
Ecumen Centennial House,Apple Valley,MN,1.0,2021-02-19 14:44:39,623311, Assisted-living facilities with on-site nursing facilities ,59,83613.0,0,10,4,0,4,14,False,62,623
Ace Hardware - Antioch,Antioch,IL,1.0,2021-06-29 19:20:42,444130, Hardware stores ,21,29779.0,0,0,0,1,1,1,True,45,444
Safe T Professionals LLC,Chandler,AZ,1.0,2021-01-19 21:47:15,541690, Safety consulting services ,74,128687.0,0,0,0,0,0,0,True,54,541
Express Courier International DBA LSO Final Mile - Tyler/TaxarKana,Tyler,TX,1.0,2021-02-25 21:32:25,492110,Express delivery services (except establishments operating under a universal service obligation),3,3120.0,0,0,0,0,0,0,True,49,492
Gold Medal Products - Chicago,Bensenville,IL,1.0,2021-02-17 19:32:55,423440," Food service equipment (except refrigerated), commercial, merchant wholesalers ",11,19078.0,0,0,0,0,0,0,True,42,423
UPMC Somerset,Somerset,PA,1.0,2021-08-03 17:46:34,622110,General Medical and Surgical Hospitals,611,997152.0,0,0,1,8,9,9,True,62,622
Lindquist Security Technologies ,Stratford,CT,1.0,2021-01-26 21:12:09,423710," Blades (e.g., knife, saw) merchant wholesalers ",20,41600.0,0,0,0,0,0,0,True,42,423
1808-00000803-501,NAVARRE,FL,1.0,2021-02-18 15:34:47,445110,Supermarket,53,445163.0,0,0,0,2,2,2,True,45,445
PHOENIX FEEDS & NUTRITION INC,New Haven,VT,1.0,2021-03-18 16:17:00,311119, Animal feed mills (except dog and cat) manufacturing ,60,100150.0,0,5,0,3,8,8,True,33,311
2248-63205,DIX HILLS,NY,1.0,2021-03-18 17:32:09,623312,Assisted Living,80,129678.0,0,1,0,0,1,1,True,62,623
Sparks Operations- VIS,Sparks,NV,1.0,2021-01-20 17:54:51,334511,"Manufacture of Search, Detection, Navigation, Aeronautical,and Nautical Systems and Instruments.",257,519877.0,0,0,0,1,1,1,True,33,334
SODEXO AT CLARIAN NORTH,CARMEL,IN,1.0,2021-03-03 16:16:04,561210,Facilities Support Services,2,8072.0,0,0,0,0,0,0,True,56,561
"K. Hovnanian Mid-Atlantic Division, LLC",Chantilly,VA,1.0,2021-03-11 15:58:42,236117, Residential for-sale builders ,59,112830.0,0,0,0,1,0,1,False,23,236
INSULATION CONTRACTOR,ST LOUIS PARK,MN,1.0,2021-02-18 16:04:03,238310, Insulation contractors ,35,74862.0,0,0,0,0,0,0,True,23,238
JMS Russel Metals Corp - Decatur,Decatur,AL,1.0,2021-02-11 13:35:22,423510, Metals service centers ,46,92027.0,0,1,2,0,3,3,True,42,423
STA - Neshaminy,Langhorne,PA,1.0,2021-01-27 14:48:00,485410," Bus operation, school and employee ",60,27676.0,0,0,0,0,0,0,True,49,485
Encompass Health,Newnan,GA,1.0,2021-01-28 23:00:43,622310," Rehabilitation hospitals (except alcoholism, drug addiction) ",232,294560.0,0,2,1,19,19,22,False,62,622
85-INFS-OGDEN UT,OGDEN,UT,1.0,2021-01-27 22:28:13,424950,WHOLESALE DISTRIBUTION,39,48351.0,0,0,0,0,0,0,True,42,424
OWENS CORNING - MOUNT VERNON,MOUNT VERNON,OH,1.0,2021-02-26 16:45:46,327993, Fiberglass insulation products manufacturing ,53,100993.0,0,0,0,0,0,0,True,33,327
168409-CHICAGO INSP SVC DIVISION,CHICAGO,IL,1.0,2021-02-26 02:48:42,491110,Mail and Parcel Delivery,163,294288.0,0,0,1,0,1,1,True,49,491
NAPP Greeneville - 011,Greeneville,TN,1.0,2021-03-04 16:47:53,322211,Corrugated and Solid Fiber Box Mfg.,126,284842.0,0,2,3,1,4,6,False,33,322
Troy Road Group Home,Albemarle,NC,1.0,2021-02-17 17:07:51,623210,Human Services Non-Profit,11,14158.0,0,2,0,0,0,2,False,62,623
Abbott Action Canton,Canton,MA,1.0,2021-03-29 15:52:48,322211," Boxes, corrugated and solid fiber, made from purchased paper or paperboard ",30,65992.0,0,0,0,1,1,1,True,33,322
TMO,Pennsauken,NJ,1.0,2021-02-15 20:40:12,621610,home health care,3,6601.0,0,0,0,0,0,0,True,62,621
4016-10634000,ORLANDO,FL,1.0,2021-02-12 22:13:03,424210,Wholesale Trade,205,418695.0,0,3,6,4,13,13,True,42,424
Spring Lake,Spring Lake,MI,1.0,2021-01-28 20:34:11,336370," Job stampings, automotive, metal, manufacturing ",69,112079.0,0,0,2,0,2,2,True,33,336
Coorstek,Benton,AR,1.0,2021-03-18 13:55:19,327110," Electrical insulators, ceramic, manufacturing ",201,390174.0,0,0,0,0,0,0,True,33,327
"Asplundh Tree Expert, LLC - 040",Bruceton Mills,WV,1.0,2021-02-19 14:35:57,561730, Tree trimming services ,516,984765.0,0,0,1,2,3,3,True,56,561
SODEXO AT DSP SNOWDEN,PLANO,TX,1.0,2021-03-03 16:47:59,561110,Business Services,1,1848.0,0,0,0,0,0,0,True,56,561
TEL Manufacturing and Engineering of America (Chelmsford),North Chelmsford,MA,1.0,2021-01-13 19:34:06,333242," Micro-lithography equipment, semiconductor, manufacturing ",51,102128.0,0,0,0,0,0,0,True,33,333
Willoughby Supply 0620,Wyoming,MI,1.0,2021-02-26 22:14:56,423330, Asphalt roofing shingles merchant wholesalers ,20,44690.0,0,1,0,1,2,2,True,42,423
Utility Relay Company Ltd.,Chagrin Falls,OH,1.0,2021-10-01 16:11:13,335314, Armature relays manufacturing ,53,106000.0,0,0,0,0,0,0,True,33,335
161854-CRETE PO,CRETE,IL,1.0,2021-02-28 14:50:29,491110,Mail and Parcel Delivery,25,44822.0,0,2,1,1,4,4,True,49,491
352455-EAST NORTHPORT PO,EAST NORTHPORT,NY,1.0,2021-02-27 23:51:30,491110,Mail and Parcel Delivery,51,92361.0,0,2,0,0,2,2,True,49,491
Parks Garbage Service - Hometown,Selinsgrove,PA,1.0,2021-03-08 22:10:50,562111, Garbage collection services ,31,53340.0,0,3,1,2,6,6,True,56,562
2807-2777,TARPON SPRINGS,FL,1.0,2021-01-28 22:32:51,444110,Homecenter,157,247191.0,0,1,2,0,3,3,True,45,444
Woodforest Golf Club LLC,Montgomery,TX,1.0,2021-06-22 21:49:12,339920," Clubs, sporting goods (e.g., golf, Indian), manufacturing ",69,111956.0,0,2,0,0,2,2,True,33,339
50027 - CAPSTONE KROGER AURORA,AURORA,CO,1.0,2021-03-15 19:01:12,493110, General warehousing and storage ,57,80739.0,0,0,0,0,0,0,True,49,493
"MO.SAINT.152 - Ricoh Americas Holdings, Inc.",SAINT LOUIS,MO,1.0,2021-02-06 01:26:23,423420,Office Equipment,4,8000.0,0,0,0,0,0,0,True,42,423
BRHMALDC - AT&T Mobility Services LLC,HOOVER,AL,1.0,2021-02-17 15:55:01,517210,Wireless Telecommunications Carriers (except Satellite),337,551094.0,0,0,0,1,1,1,True,51,517
NSSB Factory/Office,Redwood Falls,MN,1.0,2021-03-31 19:33:36,321992," Farm buildings, prefabricated wood, manufacturing ",83,172329.0,0,6,0,17,23,23,True,33,321
SODEXO AT PLIMOTH PLANTATION,PLYMOUTH,MA,1.0,2021-03-03 15:01:21,722310,Food Service Contractors,11,9503.0,0,1,0,0,1,1,True,72,722
"GA.MACON.2 - Ricoh Usa, Inc.",MACON,GA,1.0,2021-02-06 01:17:09,423420,Office Equipment,19,37833.0,0,1,0,1,2,2,True,42,423
GEM Plastics/ASI-900 Facility,Eastanollee,GA,1.0,2021-01-29 21:34:27,332510," Furniture hardware, metal, manufacturing ",245,442774.0,0,3,4,1,7,8,False,33,332
California Department of Transportation Facility 135,Santa Rose,CA,2.0,2021-03-11 00:26:20,237310,"Repair, highway, road, street, bridge or airport runway",22,45760.0,0,0,0,0,0,0,True,23,237
Hamburg Overhead Door Inc.,Hamburg,NY,1.0,2021-01-29 15:15:13,238350," Aluminum door and window, residential-type, installation ",61,98756.0,0,1,2,4,7,7,True,23,238
FE Moran Security Solutions,Champaign,IL,1.0,2021-01-28 11:03:53,238210," Fire alarm system, electric, installation only ",238,477456.0,0,0,0,0,0,0,True,23,238
KGHU  HUALAPAI MTN PARK,Kingman,AZ,3.0,2021-01-29 19:18:56,921190," General services departments, government ",4,7853.0,0,1,0,0,1,1,True,92,921
Double Eagle Hotel & Casino,Cripple Creek,CO,1.0,2021-02-04 18:34:02,721120," Hotels, resort, with casinos ",200,219733.0,0,4,0,7,11,11,True,72,721
062/Little Rock,Little Rock,AR,1.0,2021-03-09 23:22:59,423120, Automobile glass merchant wholesalers ,23,12720.0,0,0,2,0,2,2,True,42,423
Pennington Seed - Penn Pak I,Madison ,GA,1.0,2021-03-09 12:48:29,311119," Bird feed, prepared, manufacturing ",92,187222.0,0,6,0,1,7,7,True,33,311
Delta Air Lines   LAS,LAS VEGAS,NV,1.0,2021-03-03 12:50:27,481111,Scheduled Air Transportation,252,505414.0,0,3,1,0,4,4,True,49,481
JM Corporate Headquarters,Denver,CO,1.0,2021-02-02 20:25:58,551114,"Corporate, Subsidiary, and Regional Managing Offices",573,1311870.0,0,0,0,1,1,1,True,55,551
"Turf Star, Inc. - Kent",Kent,WA,1.0,2021-03-26 20:15:04,423820, Lawn maintenance machinery and equipment merchant wholesalers ,21,31436.0,0,0,0,0,0,0,True,42,423
CRANSTON  RI,CRANSTON,RI,1.0,2021-04-16 22:13:07,312111,Soft Drink Manufacturing,260,558709.0,0,3,2,3,5,8,False,33,312
Koppers Griffin Admin,Griffin,GA,1.0,2021-03-10 19:18:11,551114, Head offices ,78,156689.0,0,0,0,0,0,0,True,55,551
Dealertrack Long Island,North Hills,NY,1.0,2021-02-03 18:36:29,541512, Computer systems integration analysis and design services ,253,585046.0,0,0,0,0,0,0,True,54,541
Les Schwab Tire Center-Redmond,Redmond ,OR,1.0,2021-01-11 21:35:21,441320," Tire dealers, automotive ",33,66850.0,0,1,1,0,2,2,True,45,441
Hopp Electric Inc,Westlake,OH,1.0,2021-03-10 21:05:16,238210, Electrical contractors ,50,94474.0,0,0,0,0,0,0,True,23,238
AS PMI Westfield Service Center,Tipton,IN,1.0,2021-02-16 20:23:24,237110,Water and Sewer Line Construction,15,36036.0,0,0,0,1,1,1,True,23,237
4263-14692,DEERFIELD BEACH,FL,1.0,2021-02-08 18:32:00,721110,Hotels,76,121017.0,0,0,0,1,1,1,True,72,721
"East Main Street, Bridgeport",Bridgeport,CT,1.0,2021-03-09 18:51:52,926120," Motor vehicle licensing offices, government ",38,69606.0,0,0,0,0,0,0,True,92,926
The Laurels of Kent,Lowell,MI,1.0,2021-03-09 01:04:04,623110, Skilled nursing facilities ,124,166018.0,0,9,3,0,4,12,False,62,623
Howard Brown Health,Chicago,IL,1.0,2021-03-10 13:43:15,621112," Medical doctors' (MDs), mental health, offices (e.g. centers, clinics) ",600,124800.0,0,1,0,1,2,2,True,62,621
Cal-Maine Foods Edwards Truck Shop,Edwards,MS,1.0,2021-01-20 13:41:17,811111, Automotive engine repair and replacement shops ,7,21602.0,0,0,0,0,0,0,True,81,811
CDD/SW-Beatty Landfill,Beatty,OR,3.0,2021-02-26 19:30:40,562212, Solid waste landfills combined with collection and/or local hauling of nonhazardous waste materials ,1,1110.0,0,0,0,0,0,0,True,56,562
Orchard Place Elementary School,Des Plaines,IL,3.0,2021-01-27 18:18:51,611110, Elementary schools ,753,1133758.0,0,0,0,1,1,1,True,61,611
KS - Chanute,Chanute,KS,1.0,2021-02-01 19:33:22,624110, Child welfare services ,13,19374.0,0,0,0,1,1,1,True,62,624
Charlotte S,Charlotte,NC,1.0,2021-02-03 21:09:13,561710,Pest Control,21,34341.0,0,0,0,1,1,1,True,56,561
Turlock Sheet Metal & Welding ,Turlock,CA,1.0,2021-02-02 21:59:36,332312, Fabricated structural metal manufacturing ,40,48384.0,0,1,1,0,2,2,True,33,332
DISA Parcel Delivery,Selma,TX,1.0,2021-04-09 17:07:06,492210," Delivery service (except as part of intercity carrier network, U.S. Postal Service) ",60,9000.0,0,7,1,3,11,11,True,49,492
Plant 1,Plano,IL,1.0,2021-03-31 14:56:15,493110, General warehousing and storage ,95,166770.0,0,2,0,0,2,2,True,49,493
SMM Group Fairless Shredder,Morrisville,PA,1.0,2021-01-27 15:16:11,423930," Scrap materials (e.g., automotive, industrial)  merchant wholesalers ",56,126188.0,0,0,2,0,2,2,True,42,423
Bakersfield-Coffee Rd #032,Bakersfield,CA,1.0,2021-03-08 20:31:09,445110,Store,164,252446.0,0,0,9,9,18,18,True,45,445
4498,CORAL SPRINGS,FL,1.0,2021-03-11 20:19:06,445110,Supermarkets and Other Grocery (except Convenience) Stores,84,130823.0,0,1,1,0,2,2,True,45,445
Florida Certified Sign Erectors LLC,Dothan,AL,1.0,2021-04-29 13:06:42,238990," Sign, building, erection ",25,54845.0,0,0,0,0,0,0,True,23,238
9288-PFJLM-MEMPHIS SUMMER AVENUE,MEMPHIS,TN,1.0,2021-04-26 15:33:24,713940,FITNESS,16,14496.0,0,0,0,0,0,0,True,71,713
"TX.HOUST.413 - Ricoh Usa, Inc.",HOUSTON,TX,1.0,2021-02-06 01:40:55,423420,Office Equipment,4,8000.0,0,1,0,0,1,1,True,42,423
Vertiv Services Inc - Thermal - West Region,Laguna Hills,CA,1.0,2021-01-26 16:46:32,238210, Low voltage electrical work ,22,44324.0,0,0,0,0,0,0,True,23,238
"Cumberland Heights Foundation, Inc.",Nashville,TN,1.0,2021-01-18 17:00:31,622210," Rehabilitation hospitals, alcoholism and drug addiction ",375,704010.0,0,1,2,4,7,7,True,62,622
St. Elizabeth Rehabilitation and Nursing Home,Baltimore,MD,1.0,2021-02-05 18:29:03,623110, Nursing homes ,147,241457.0,0,9,0,10,14,19,False,62,623
"Siemers Holstein Farm, Inc. - Main Farm",Newton,WI,1.0,2021-02-02 17:19:35,112120," Milk production, dairy cattle ",54,140000.0,0,0,0,4,4,4,True,11,112
Harlen's Drywall Co Inc,Vancouver,WA,1.0,2021-02-05 19:00:50,238310, Drywall contractors ,75,211051.0,0,0,2,0,2,2,True,23,238
TASCA AUTOMOTIVE GROUP Inc Truck Center,Cranston,RI,1.0,2021-02-10 16:50:24,441110," Light utility truck dealers, new only or new and used ",45,76964.0,0,3,0,3,6,6,True,45,441
2643-16120001-161201,BARDSTOWN,KY,1.0,2021-03-04 00:01:13,622110,General Medical and Surgical Hospitals,329,485722.0,0,5,3,9,10,17,False,62,622
1065,GASTONIA,NC,1.0,2021-02-25 10:34:11,445110,Supermrkts & other grocery stores,65,83143.0,0,1,0,0,1,1,True,45,445
2807-1899,SULPHUR,LA,1.0,2021-01-28 22:25:28,444110,Homecenter,166,266215.0,0,6,1,1,8,8,True,45,444
Rainier Veneer,Spanaway,WA,1.0,2021-02-02 19:29:38,321212," Veneer mills, softwood ",60,136917.0,0,2,2,2,6,6,True,33,321
Roy Rogers Family Restaurants - Winchester,Winchester,VA,1.0,2021-02-22 17:05:50,722513, Fast-food restaurants ,20,22759.0,0,0,0,0,0,0,True,72,722
Empire Solutions NA Inc.,Cleveland,OH,1.0,2021-01-27 15:29:11,238140, Refractory brick contractors ,20,28266.0,0,0,0,0,0,0,True,23,238
Hilton Garden Inn,Napa,CA,1.0,2021-01-14 01:10:06,721110, Hotels (except casino hotels) ,37,36354.0,0,0,0,1,0,1,False,72,721
"NY.NEW Y.303 - Ricoh Americas Holdings, Inc.",NEW YORK,NY,1.0,2021-02-06 01:30:33,423420,Office Equipment,3,6000.0,0,0,0,0,0,0,True,42,423
Bowling Green,Woodford,VA,1.0,2021-01-22 18:51:20,221122, Distribution of electric power ,87,162211.0,0,0,1,2,3,3,True,22,221
HEBRON,HEBRON,KY,1.0,2021-01-29 20:55:06,484121,Transportation,33,10640.0,0,0,0,0,0,0,True,49,484
Gerald Printing Bowling Green,Bowling Green,KY,1.0,2021-01-21 16:41:44,323111," Offset printing (except books, printing grey goods) ",34,65877.0,0,0,0,0,0,0,True,33,323
Golden Road Brewing-Anaheim Brewery,Anaheim ,CA,1.0,2021-02-26 23:18:48,312120, Breweries ,8,10370.0,0,0,0,0,0,0,True,33,312
"Imperial Ornamental Metal Co., Inc. dba Imperial Metal Company, Inc.",Fenton,MO,1.0,2021-01-26 00:05:40,332323," Railings, metal, manufacturing ",38,75111.0,0,1,0,0,1,1,True,33,332
Textron Aviation - Pawnee,Wichita,KS,1.0,2021-02-26 14:52:23,336411, Aircraft manufacturing ,769,1597323.0,0,5,4,5,14,14,True,33,336
"Superior Lithographics, Inc",Los Angeles,CA,1.0,2021-02-26 02:14:15,322212," Cartons, folding (except milk), made from purchased paperboard ",108,235469.0,0,5,5,1,6,11,False,33,322
SODEXO AT MAXIMO SYSTEMS TOOLS,GAITHERSBURG,MD,1.0,2021-03-03 17:07:08,561110,Business Services,4,7172.0,0,0,0,0,0,0,True,56,561
Signature Homes Main Office,Pleasanton,CA,1.0,2021-02-03 18:30:56,236117," Home builders, for-sale ",66,117148.0,0,0,1,0,1,1,True,23,236
GMI CONTRACTORS.INC,Bristol,PA,1.0,2021-05-25 18:06:16,238150, Glazing contractors ,79,67230.0,0,1,0,0,1,1,True,23,238
Pike Alabama Statewide Operations,Mount Airy,NC,1.0,2021-01-29 16:42:52,237130," Construction management, power and communication transmission line ",402,835236.0,0,4,1,2,7,7,True,23,237
SKF Wastewater Treatment Plant,Kingsburg,CA,3.0,2021-01-26 23:18:30,221320," Waste collection, treatment, and disposal through a sewer system ",30,62400.0,0,0,0,2,2,2,True,22,221
OCSD Records Division (Fmr. Support Services Division),Santa Ana,CA,3.0,2021-03-18 16:56:06,922120,OC Sheriff`s Department,100,280000.0,0,6,0,0,0,6,False,92,922
"Stark Truss Co., Inc. Summerville, SC",Summerville,SC,1.0,2021-01-28 15:09:09,321214," Floor trusses, wood, manufacturing ",41,88531.0,0,2,1,1,4,4,True,33,321
Laredo Office,Laredo,TX,1.0,2021-02-02 19:41:45,221122, Distribution of electric power ,4,8636.0,0,0,0,0,0,0,True,22,221
SODEXO AT COLORADO MOUNTAIN COLLEGE,GLENWOOD SPRINGS,CO,1.0,2021-03-03 16:14:16,561210,Facilities Support Services,6,7071.0,0,0,0,0,0,0,True,56,561
Store #039,Flint ,TX,1.0,2021-02-26 15:47:08,445110, Supermarkets ,137,234355.0,0,4,0,3,7,7,True,45,445
